"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI TIC MRM CID@25.0 (** -> **) MB_B28_PCB_03cal_20220507.d ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",4,27.096,27.21,27.34,847425,4881212,50.17,78.63,8.76,0.244,,41806,2763,-194,300,,847462,,78.62,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",5,27.34,27.495,27.666,814435,4720438,48.52,75.57,8.47,0.326,,2763,358,225,225,,814659,,75.55,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",6,27.683,27.886,27.96,816816,4880716,50.16,75.79,8.76,0.277,,330,242232,330,718,,817431,,75.78,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",7,27.96,28.041,28.171,819319,4639081,47.68,76.03,8.33,0.212,,242232,1428,1394,1428,,820726,,76.01,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",8,29.817,30.013,30.192,801187,4673757,48.04,74.34,8.39,0.375,,131,332,131,98,,801301,,74.33,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",9,30.795,31.007,31.153,791358,4679305,48.09,73.43,8.4,0.358,,143,3931,143,122,,791489,,73.41,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",10,31.153,31.373,31.561,1077683,9729723,100,100,17.47,0.407,,3931,3401,219,292,,1077941,,99.98,MM,,,,,M,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",11,31.561,31.74,31.952,865652,5066063,52.07,80.33,9.09,0.391,,3401,731,462,462,,866114,,80.31,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (234.0 -> 164.1) MB_B28_PCB_03cal_20220507.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (234.0 -> 164.1) MB_B28_PCB_03cal_20220507.D  Smooth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D ",1,31.527,31.722,31.885,687786,4026702,100,100,100,0.358,,145,574,145,270,,687999,,99.97,MM,,,,,M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (256.0 -> 186.0) MB_B28_PCB_03cal_20220507.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No integration results available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Z:\Data\Project 3 Air\AESOP Yr9-10 homes, schools\MB_B28_20220507\MB_B28_PCB_03cal_20220507.D", +EI MRM CID@25.0 (256.0 -> 186.0) MB_B28_PCB_03cal_20220507.D  Smooth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
